br_pr_D1,tr_pr_D0,tr_hpr_D0,Volume_D10,Volume_D9,Volume_D8,Volume_D7,Volume_D6,Volume_D5,Volume_D4,Volume_D3,Volume_D2,Volume_D1,tr_vol_D0,lpr_D10,lpr_D9,lpr_D8,lpr_D7,lpr_D6,lpr_D5,lpr_D4,lpr_D3,lpr_D2,lpr_D1
14900,15500,17200,47914,34112,31285,28798,64274,42643,45141,53325,35837,64635,632778,15150,15100,15050,15050,15050,15150,15050,15050,15250,14900
10300,11300,11950,1962202,872864,10971361,2901106,1099521,2737240,3890829,2094951,2021601,1296496,3727974,9050,9210,9800,10700,10550,10700,11150,11550,11050,10250
1900,1935,2230,5545493,13276533,6466835,30993968,15713893,12835524,4820437,4002552,23137852,29238512,22722201,2545,2605,2695,2625,2355,2455,2350,2225,1565,1680
1010,1100,1195,1240211,8975009,2735776,2952105,1355351,100926926,45758862,28232464,20735866,23019177,70454673,912,918,935,922,916,920,1075,1050,951,981
2950,3110,3250,700131,603657,350413,398573,832872,367354,585808,493269,424346,1217458,8904171,2790,2810,2845,2855,2865,2910,2900,2815,2840,2860
19850,20500,21850,155664,668393,234158,293104,106607,346239,119077,86657,263174,98581,291297,18050,18350,18750,20200,20300,20450,19350,18700,18550,19450
35550,37900,46200,248344,320036,1853601,520412,1883614,811217,10137430,13478548,3304374,1818414,6558986,22450,21150,20450,22250,21750,23250,24700,29600,33850,33150
5830,5960,6200,138846,556407,265407,1302155,432961,469476,306863,155383,247181,166908,296909,5400,5470,5550,5690,5950,5960,5800,5640,5620,5670
17600,17650,18450,61354,104684,37372,41444,73400,74381,72827,26322,51982,33165,32680,17900,17050,17500,17700,18000,17000,16700,17050,17000,17450
2990,3160,3245,26628440,26664842,15417695,8024474,14642887,10844352,16946134,106848710,43642527,28874175,30741879,2925,2870,3010,2940,2990,2870,2700,2790,2955,2950
5340,5530,6100,0,0,0,0,857005,581298,292613,144404,447428,2060120,2333229,407,407,407,407,3905,4220,3960,4045,4120,4575
17700,17900,18350,104684,37372,41444,73400,74381,72827,26322,51982,33165,32680,41847,17050,17500,17700,18000,17000,16700,17050,17000,17450,17200
3360,3535,3915,417631,205608,333425,1017694,496374,280770,157002,202902,48323464,5307347,31442399,2940,3000,2965,2950,2780,2725,2765,2780,2865,3220
663,685,829,3084182,646473,944221,6145273,1076767,1377206,1592405,2308413,649177,779647,26902605,672,696,684,691,688,667,639,627,650,637
3090,3140,3160,15417695,8024474,14642887,10844352,16946134,106848710,43642527,28874175,30741879,18548353,39899110,3010,2940,2990,2870,2700,2790,2955,2950,3015,3035
2105,2155,2360,29384653,16128529,27176868,8087984,35759421,28476427,13454454,7980697,31536332,78676335,160943663,1915,1800,1785,1740,1740,1910,1850,1820,1855,1985
17750,18450,19300,598055,556597,597817,745445,1658017,546258,561786,864651,345324,340645,2414391,17700,17150,17500,16700,17100,17750,17500,17850,17700,17550
